Epoch Time,Temp,Humidity
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934070,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934070,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934070,23.3,45.0
1632934072,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
1632934042,23.1,46.0
1632934044,23.1,46.0
1632934047,23.1,46.0
1632934049,23.1,46.0
1632934051,23.1,46.0
1632934053,23.1,46.0
1632934054,23.2,46.0
1632934056,23.2,46.0
1632934058,23.2,46.0
1632934060,23.2,46.0
1632934062,23.2,46.0
1632934065,23.2,46.0
1632934066,23.3,46.0
1632934068,23.3,45.0
1632934070,23.3,45.0
1632934072,23.3,45.0
1632934008,22.8,46.0
1632934010,22.8,46.0
1632934011,22.8,46.0
1632934014,22.9,46.0
1632934015,22.9,46.0
1632934017,22.9,46.0
1632934020,22.9,46.0
1632934022,23.0,46.0
1632934023,23.0,45.0
1632934025,23.0,45.0
1632934028,23.0,45.0
1632934030,23.0,45.0
1632934032,23.0,45.0
1632934033,23.1,46.0
1632934036,23.1,46.0
1632934038,23.1,46.0
1632934040,23.1,46.0
